Key,Comment,en,en-GB,de,es,
GENERIC_ACTIVITY_LABEL_VIDEO,"Generic: Label, activity - 'video'",video,video,video,video,
REG_MESSAGE_HTTP_RESPONSE_ERROR_TEXT,Alert message - an error occurred during regisration,We encountered an error.  Please try again,We encountered an error.  Please try again,We encountered an error.  Please try again,We encountered an error.  Please try again,
GENERIC_BUTTON_UPLOAD_SMALL,Generic: Upload button on nav bar,Upload,Upload,Upload,Upload,
AUTH_BUTTON_LOGIN,Login: Button text - login,Log In,Log In,Log In,Log In,
HOME_TITLE_ONLINE_STORAGE,"Home: Title, Online Storage.",Online Storage,Online Storage,Online Storage,Online Storage,
REG_MESSAGE_QUERY_NETWORK,Message shown briefly while attempting to get msisdn from network,Querying Network...,Querying Network...,Querying Network...,Querying Network...,
SETTINGS_BUTTON_TUTORIAL,"Settings: Button, Tutorial.",Tutorial,Tutorial,Tutorial,Tutorial,
SETTINGS_ACCESSIBILITY_LABEL_3G_UPLOADS_ENABLED,"Settings: Accessibility label, 3G Uploads Enabled.",3G uploads enabled,3G uploads enabled,3G uploads enabled,3G uploads enabled,
GENERIC_LABEL_APPLICATION_REPOSITORY_NAME,"Generic: Label, default repository name for this application",SyncDrive,SyncDrive,SyncDrive,SyncDrive,
AUTH_BUTTON_RETURN_HOME,Auth: Button text 'Home',Login,Login,Login,Login,
AUTH_TEXTFIELD_PASSWORD_PLACEHOLDER,Login: Password textfield/accessibility text,Password,Password,Password,Password,
ALBUM_LABEL_CREATED_,"Album: Label, 'Created '.",Created ,Created ,Created ,Created ,
TUTORIAL_SCREEN_1_CONTENT,Tutorial: Screen 1 content,Welcome to Synchronoss Personal Cloud,Welcome to Synchronoss Personal Cloud,Welcome to Synchronoss Personal Cloud,Welcome to Synchronoss Personal Cloud,
TUTORIAL_SCREEN_2_CONTENT,Tutorial: Screen 2 content,Back up your photos and videos from your phone to the cloud...,Back up your photos and videos from your phone to the cloud...,Back up your photos and videos from your phone to the cloud...,Back up your photos and videos from your phone to the cloud...,
TUTORIAL_SCREEN_3_CONTENT,Tutorial: Screen 3 content,...and synchronise all your files across your computers and phone,...and synchronise all your files across your computers and phone,...and synchronise all your files across your computers and phone,...and synchronise all your files across your computers and phone,
TUTORIAL_SCREEN_4_CONTENT,Tutorial: Screen 4 content,Shares your files with friends and family,Shares your files with friends and family,Shares your files with friends and family,Shares your files with friends and family,
GENERIC_BUTTON_EDIT,Title of generic Edit button,Edit,Edit,Edit,Edit,
MULTI_SELECT_MANAGER_FILE_SELECTED_LABEL,Text of label indicating one selected file,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_FILES_SELECTED_LABEL,Text of label indicating the number of selected files,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_PHOTO_SELECTED_LABEL,Text of label indicating one selected photo,%d Photo selected,%d Photo selected,%d Photo selected,%d Photo selected,
MULTI_SELECT_MANAGER_PHOTOS_SELECTED_LABEL,Text of label indicating the number of selected photos,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_VIDEO_SELECTED_LABEL,Text of label indicating one selected video,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_VIDEOS_SELECTED_LABEL,Text of label indicating the number of selected videos,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_SONG_SELECTED_LABEL,Text of label indicating one song is selected,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_SONGS_SELECTED_LABEL,Text of label indicating multiple songs are selected,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_ARTIST_SELECTED_LABEL,Text of label indicating one artist is selected,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_ARTISTS_SELECTED_LABEL,Text of label indicating multiple artists are selected,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_ALBUM_SELECTED_LABEL,Text of label indicating one album is selected,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_ALBUMS_SELECTED_LABEL,Text of label indicating multiple albums are selected,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_PLAYLIST_SELECTED_LABEL,Text of label indicating one playlist is selected,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_PLAYLISTS_SELECTED_LABEL,Text of label indicating multiple playlists are selected,%d Selected,%d Selected,%d Selected,%d Selected,
MULTI_SELECT_MANAGER_DEFAULT_SELECTED_LABEL,"Text of label indicating one or more selected items (songs, artists, ...)",%d selected,%d selected,%d selected,%d selected,
FILE_MANAGER_FILE_DELETE_TITLE,Title of alert that asks for user confirmation when deleting a file,Delete file?,Delete file?,Delete file?,Delete file?,
FILE_MANAGER_FILES_DELETE_TITLE,Title of alert that asks for user confirmation when deleting multiple files,Delete files?,Delete files?,Delete files?,Delete files?,
FILE_MANAGER_FILE_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting a file,Are you sure you want to delete the selected file(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected file(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected file(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected file(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_FILES_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting multiple files,Are you sure you want to delete the selected file(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected file(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected file(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected file(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_FILE_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the file is deleted successfully, , , , ,
FILE_MANAGER_FILES_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the files are deleted successfully, , , , ,
FILE_MANAGER_FILE_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the file is deleted successfully,File deleted successfully.,File deleted successfully.,File deleted successfully.,File deleted successfully.,
FILE_MANAGER_FILES_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the files are deleted successfully,Files deleted successfully.,Files deleted successfully.,Files deleted successfully.,Files deleted successfully.,
FILE_MANAGER_CANNOT_DELETE_FILE_TITLE,Title of alert that shows up when the file cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_FILES_TITLE,Title of alert that shows up when the files cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_FILE_MESSAGE,Message of alert that shows up when the file cannot be deleted successfully,Cannot delete file!,Cannot delete file!,Cannot delete file!,Cannot delete file!,
FILE_MANAGER_CANNOT_DELETE_FILES_MESSAGE,Message of alert that shows up when the files cannot be deleted successfully,Cannot delete files!,Cannot delete files!,Cannot delete files!,Cannot delete files!,
FILE_MANAGER_PHOTO_DELETE_TITLE,Title of alert that asks for user confirmation when deleting a photo,Delete photo?,Delete photo?,Delete photo?,Delete photo?,
FILE_MANAGER_PHOTOS_DELETE_TITLE,Title of alert that asks for user confirmation when deleting multiple photos,Delete photos?,Delete photos?,Delete photos?,Delete photos?,
FILE_MANAGER_PHOTO_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting a photo,Are you sure you want to delete the selected photo(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected photo(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected photo(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected photo(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_PHOTOS_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting multiple photos,Are you sure you want to delete the selected photo(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected photo(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected photo(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected photo(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_PHOTO_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the photo is deleted successfully, , , , ,
FILE_MANAGER_PHOTOS_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the photos are deleted successfully, , , , ,
FILE_MANAGER_PHOTO_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the photo is deleted successfully,Photo deleted successfully.,Photo deleted successfully.,Photo deleted successfully.,Photo deleted successfully.,
FILE_MANAGER_PHOTOS_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the photos are deleted successfully,Photos deleted successfully.,Photos deleted successfully.,Photos deleted successfully.,Photos deleted successfully.,
FILE_MANAGER_CANNOT_DELETE_PHOTO_TITLE,Title of alert that shows up when the photo cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_PHOTOS_TITLE,Title of alert that shows up when the photos cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_PHOTO_MESSAGE,Message of alert that shows up when the photo cannot be deleted successfully,Cannot delete photo!,Cannot delete photo!,Cannot delete photo!,Cannot delete photo!,
FILE_MANAGER_CANNOT_DELETE_PHOTOS_MESSAGE,Message of alert that shows up when the photos cannot be deleted successfully,Cannot delete photos!,Cannot delete photos!,Cannot delete photos!,Cannot delete photos!,
FILE_MANAGER_VIDEO_DELETE_TITLE,Title of alert that asks for user confirmation when deleting a video,Delete video?,Delete video?,Delete video?,Delete video?,
FILE_MANAGER_VIDEOS_DELETE_TITLE,Title of alert that asks for user confirmation when deleting multiple videos,Delete videos?,Delete videos?,Delete videos?,Delete videos?,
FILE_MANAGER_VIDEO_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting a video,Are you sure you want to delete the selected video(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected video(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected video(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected video(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_VIDEOS_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting multiple videos,Are you sure you want to delete the selected video(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected video(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected video(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected video(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_VIDEO_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the video is deleted successfully, , , , ,
FILE_MANAGER_VIDEOS_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the videos are deleted successfully, , , , ,
FILE_MANAGER_VIDEO_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the video is deleted successfully,Video deleted successfully.,Video deleted successfully.,Video deleted successfully.,Video deleted successfully.,
FILE_MANAGER_VIDEOS_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the videos are deleted successfully,Videos deleted successfully.,Videos deleted successfully.,Videos deleted successfully.,Videos deleted successfully.,
FILE_MANAGER_CANNOT_DELETE_VIDEO_TITLE,Title of alert that shows up when the video cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_VIDEOS_TITLE,Title of alert that shows up when the videos cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_VIDEO_MESSAGE,Message of alert that shows up when the video cannot be deleted successfully,Cannot delete video!,Cannot delete video!,Cannot delete video!,Cannot delete video!,
FILE_MANAGER_CANNOT_DELETE_VIDEOS_MESSAGE,Message of alert that shows up when the videos cannot be deleted successfully,Cannot delete videos!,Cannot delete videos!,Cannot delete videos!,Cannot delete videos!,
FILE_MANAGER_SONG_DELETE_TITLE,Title of alert that asks for user confirmation when deleting a song,Delete song?,Delete song?,Delete song?,Delete song?,
FILE_MANAGER_SONGS_DELETE_TITLE,Title of alert that asks for user confirmation when deleting multiple songs,Delete songs?,Delete songs?,Delete songs?,Delete songs?,
FILE_MANAGER_SONG_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting a song,Are you sure you want to delete the selected song(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected song(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected song(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected song(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_SONGS_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting multiple songs,Are you sure you want to delete the selected song(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected song(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected song(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected song(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_SONG_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the song is deleted successfully, , , , ,
FILE_MANAGER_SONGS_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the songs are deleted successfully, , , , ,
FILE_MANAGER_SONG_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the song is deleted successfully,Song deleted successfully.,Song deleted successfully.,Song deleted successfully.,Song deleted successfully.,
FILE_MANAGER_SONGS_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the songs are deleted successfully,Songs deleted successfully.,Songs deleted successfully.,Songs deleted successfully.,Songs deleted successfully.,
FILE_MANAGER_CANNOT_DELETE_SONG_TITLE,Title of alert that shows up when the song cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_SONGS_TITLE,Title of alert that shows up when the songs cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_SONG_MESSAGE,Message of alert that shows up when the song cannot be deleted successfully,Cannot delete song!,Cannot delete song!,Cannot delete song!,Cannot delete song!,
FILE_MANAGER_CANNOT_DELETE_SONGS_MESSAGE,Message of alert that shows up when the songs cannot be deleted successfully,Cannot delete songs!,Cannot delete songs!,Cannot delete songs!,Cannot delete songs!,
FILE_MANAGER_ARTIST_DELETE_TITLE,Title of alert that asks for user confirmation when deleting an artist,Delete artist?,Delete artist?,Delete artist?,Delete artist?,
FILE_MANAGER_ARTISTS_DELETE_TITLE,Title of alert that asks for user confirmation when deleting multiple artists,Delete artists?,Delete artists?,Delete artists?,Delete artists?,
FILE_MANAGER_ARTIST_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting an artist,Are you sure you want to delete the selected artist(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected artist(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected artist(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected artist(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_ARTISTS_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting multiple artists,Are you sure you want to delete the selected artist(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected artist(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected artist(s) from the cloud? You cannot undo this action.,Are you sure you want to delete the selected artist(s) from the cloud? You cannot undo this action.,
FILE_MANAGER_ARTIST_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the artist is deleted successfully, , , , ,
FILE_MANAGER_ARTISTS_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the artists are deleted successfully, , , , ,
FILE_MANAGER_ARTIST_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the artist is deleted successfully,Artist deleted successfully.,Artist deleted successfully.,Artist deleted successfully.,Artist deleted successfully.,
FILE_MANAGER_ARTISTS_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the artists are deleted successfully,Artists deleted successfully.,Artists deleted successfully.,Artists deleted successfully.,Artists deleted successfully.,
FILE_MANAGER_CANNOT_DELETE_ARTIST_TITLE,Title of alert that shows up when the artist cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_ARTISTS_TITLE,Title of alert that shows up when the artists cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_ARTIST_MESSAGE,Message of alert that shows up when the artist cannot be deleted successfully,Cannot delete artist!,Cannot delete artist!,Cannot delete artist!,Cannot delete artist!,
FILE_MANAGER_CANNOT_DELETE_ARTISTS_MESSAGE,Message of alert that shows up when the artists cannot be deleted successfully,Cannot delete artists!,Cannot delete artists!,Cannot delete artists!,Cannot delete artists!,
FILE_MANAGER_ALBUM_DELETE_TITLE,Title of alert that asks for user confirmation when deleting an album,Delete album?,Delete album?,Delete album?,Delete album?,
FILE_MANAGER_ALBUMS_DELETE_TITLE,Title of alert that asks for user confirmation when deleting multiple albums,Delete albums?,Delete albums?,Delete albums?,Delete albums?,
FILE_MANAGER_ALBUM_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting an album,Are you sure you want to delete the selected album(s) from the cloud?,Are you sure you want to delete the selected album(s) from the cloud?,Are you sure you want to delete the selected album(s) from the cloud?,Are you sure you want to delete the selected album(s) from the cloud?,
FILE_MANAGER_ALBUMS_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting multiple albums,Are you sure you want to delete the selected album(s) from the cloud?,Are you sure you want to delete the selected album(s) from the cloud?,Are you sure you want to delete the selected album(s) from the cloud?,Are you sure you want to delete the selected album(s) from the cloud?,
FILE_MANAGER_MESSAGE_WILL_NOT_DELETE,Appended to delete message to confirm files will not be deleted,This will not delete your %@.,This will not delete your %@.,This will not delete your %@.,This will not delete your %@.,
FILE_MANAGER_ALBUM_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the album is deleted successfully, , , , ,
FILE_MANAGER_ALBUMS_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the albums are deleted successfully, , , , ,
FILE_MANAGER_ALBUM_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the album is deleted successfully,Album deleted successfully.,Album deleted successfully.,Album deleted successfully.,Album deleted successfully.,
FILE_MANAGER_ALBUMS_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the albums are deleted successfully,Albums deleted successfully.,Albums deleted successfully.,Albums deleted successfully.,Albums deleted successfully.,
FILE_MANAGER_CANNOT_DELETE_ALBUM_TITLE,Title of alert that shows up when the album cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_ALBUMS_TITLE,Title of alert that shows up when the albums cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_ALBUM_MESSAGE,Message of alert that shows up when the album cannot be deleted successfully,Cannot delete album!,Cannot delete album!,Cannot delete album!,Cannot delete album!,
FILE_MANAGER_CANNOT_DELETE_ALBUMS_MESSAGE,Message of alert that shows up when the albums cannot be deleted successfully,Cannot delete albums!,Cannot delete albums!,Cannot delete albums!,Cannot delete albums!,
FILE_MANAGER_PLAYLIST_DELETE_TITLE,Title of alert that asks for user confirmation when deleting a playlist,Delete playlist?,Delete playlist?,Delete playlist?,Delete playlist?,
FILE_MANAGER_PLAYLISTS_DELETE_TITLE,Title of alert that asks for user confirmation when deleting multiple playlists,Delete playlists?,Delete playlists?,Delete playlists?,Delete playlists?,
FILE_MANAGER_PLAYLIST_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting a playlist,Are you sure you want to delete the selected playlist(s) from the cloud?,Are you sure you want to delete the selected playlist(s) from the cloud?,Are you sure you want to delete the selected playlist(s) from the cloud?,Are you sure you want to delete the selected playlist(s) from the cloud?,
FILE_MANAGER_PLAYLISTS_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting multiple playlists,Are you sure you want to delete the selected playlist(s) from the cloud?,Are you sure you want to delete the selected playlist(s) from the cloud?,Are you sure you want to delete the selected playlist(s) from the cloud?,Are you sure you want to delete the selected playlist(s) from the cloud?,
FILE_MANAGER_PLAYLIST_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the playlist is deleted successfully, , , , ,
FILE_MANAGER_PLAYLISTS_SUCCESSFULLY_DELETED_TITLE,Title of alert that shows up after the playlists are deleted successfully, , , , ,
FILE_MANAGER_PLAYLIST_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the playlist is deleted successfully,Playlist deleted successfully.,Playlist deleted successfully.,Playlist deleted successfully.,Playlist deleted successfully.,
FILE_MANAGER_PLAYLISTS_SUCCESSFULLY_DELETED_MESSAGE,Message of alert that shows up after the playlists are deleted successfully,Playlists deleted successfully.,Playlists deleted successfully.,Playlists deleted successfully.,Playlists deleted successfully.,
FILE_MANAGER_CANNOT_DELETE_PLAYLIST_TITLE,Title of alert that shows up when the playlist cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_PLAYLISTS_TITLE,Title of alert that shows up when the playlists cannot be deleted successfully, , , , ,
FILE_MANAGER_CANNOT_DELETE_PLAYLIST_MESSAGE,Message of alert that shows up when the playlist cannot be deleted successfully,Cannot delete playlist!,Cannot delete playlist!,Cannot delete playlist!,Cannot delete playlist!,
FILE_MANAGER_CANNOT_DELETE_PLAYLISTS_MESSAGE,Message of alert that shows up when the playlists cannot be deleted successfully,Cannot delete playlists!,Cannot delete playlists!,Cannot delete playlists!,Cannot delete playlists!,
FILE_MANAGER_TIMELINE_DELETE_TITLE,Title of alert that asks for user confirmation when deleting a photo from timeline,Delete photo?,Delete photo?,Delete photo?,Delete photo?,
FILE_MANAGER_TIMELINE_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting a photo from timeline,Are you sure you want to delete this photo from the cloud?,Are you sure you want to delete this photo from the cloud?,Are you sure you want to delete this photo from the cloud?,Are you sure you want to delete this photo from the cloud?,
FILE_MANAGER_PLURAL_TIMELINE_DELETE_TITLE,Title of alert that asks for user confirmation when deleting photos from timeline,Delete %d photos?,Delete %d photos?,Delete %d photos?,Delete %d photos?,
FILE_MANAGER_PLURAL_TIMELINE_DELETE_MESSAGE,Message of alert that asks for user confirmation when deleting photos from timeline,Are you sure you want to delete %d photos from the cloud?,Are you sure you want to delete %d photos from the cloud?,Are you sure you want to delete %d photos from the cloud?,Are you sure you want to delete %d photos from the cloud?,
MUSIC_LABEL_ALL_SONGS,All songs label,All Songs,All Songs,All Songs,All Songs,
ALBUM_TITLE_PHOTO_TIMELINE,"Album: Title, Photo Timeline",Timeline,Timeline,Timeline,Timeline,
HUB_VIEW_TITLE,Content Hub: Screen title,Home,Home,Home,Home,
HUB_LABEL_BACKUP_PHOTOS,Content Hub: Start backing up your Photos now.,Start backing up your Photos now,Start backing up your Photos now,Start backing up your Photos now,Start backing up your Photos now,
HUB_LABEL_BACKUP_VIDEOS,Content Hub: Start backing up your Videos now.,Start backing up your Videos now,Start backing up your Videos now,Start backing up your Videos now,Start backing up your Videos now,
HUB_LABEL_BACKUP_MUSIC,Content Hub: Start backing up your Music now.,Start backing up your Music now,Start backing up your Music now,Start backing up your Music now,Start backing up your Music now,
HUB_LABEL_BACKUP_CONTACTS,Content Hub: Start backing up your Contacts now.,Start backing up your Contacts now,Start backing up your Contacts now,Start backing up your Contacts now,Start backing up your Contacts now,
HUB_LABEL_BACKUP_FILES,Content Hub: Start backing up your Files now.,Start backing up your Files now,Start backing up your Files now,Start backing up your Files now,Start backing up your Files now,
HUB_LABEL_BACKUP_DOCUMENTS,Content Hub: Start backing up your Documents now.,Start backing up your Documents now,Start backing up your Documents now,Start backing up your Documents now,Start backing up your Documents now,
HUB_LABEL_BACKUP_DATE,Content Hub: Last backed up: %@,Last backed up: %@,Last backed up: %@,Last backed up: %@,Last backed up: %@,
HUB_LABEL_NO_PHOTOS_ON_DEVICE,Content Hub: Label indicating no photos on device,"There are no accessible photos on your device.  When photos are added to your device, they will be automatically backed up.","There are no accessible photos on your device.  When photos are added to your device, they will be automatically backed up.","There are no accessible photos on your device.  When photos are added to your device, they will be automatically backed up.","There are no accessible photos on your device.  When photos are added to your device, they will be automatically backed up.",
HUB_LABEL_NO_VIDEOS_ON_DEVICE,Content Hub: Label indicating no videos on device,"There are no accessible videos on your device.  When videos are added to your device, they will be automatically backed up.","There are no accessible videos on your device.  When videos are added to your device, they will be automatically backed up.","There are no accessible videos on your device.  When videos are added to your device, they will be automatically backed up.","There are no accessible videos on your device.  When videos are added to your device, they will be automatically backed up.",
HUB_LABEL_NO_CONTACTS_ON_DEVICE,Content Hub: Label indicating no contacts on device,"There are no accessible contacts on your device.  When contacts are added to your device, they will be automatically backed up.","There are no accessible contacts on your device.  When contacts are added to your device, they will be automatically backed up.","There are no accessible contacts on your device.  When contacts are added to your device, they will be automatically backed up.","There are no accessible contacts on your device.  When contacts are added to your device, they will be automatically backed up.",
HUB_LABEL_NO_PHOTOS_ON_DEVICE_BACKUP_DISABLED,Content Hub: Label indicating no photos on device (backup disabled),There are no accessible photos on your device.,There are no accessible photos on your device.,There are no accessible photos on your device.,There are no accessible photos on your device.,
HUB_LABEL_NO_VIDEOS_ON_DEVICE_BACKUP_DISABLED,Content Hub: Label indicating no videos on device (backup disabled),There are no accessible videos on your device.,There are no accessible videos on your device.,There are no accessible videos on your device.,There are no accessible videos on your device.,
HUB_LABEL_NO_CONTACTS_ON_DEVICE_BACKUP_DISABLED,Content Hub: Label indicating no contacts on device (backup disabled),There are no accessible contacts on your device.,There are no accessible contacts on your device.,There are no accessible contacts on your device.,There are no accessible contacts on your device.,
HUB_LABEL_BACKING_UP_NOW,Content Hub: Label indicating backup in progress,Backing up now...,Backing up now...,Backing up now...,Backing up now...,
HUB_LABEL_BACKUP_PENDING,Content Hub: Label indicating backup is pending,Backup pending...,Backup pending...,Backup pending...,Backup pending...,
HUB_LABEL_NO_MUSIC_IN_CLOUD,Content Hub: Label indicating no music in cloud,You have no music in your Cloud,You have no music in your Cloud,You have no music in your Cloud,You have no music in your Cloud,
HUB_LABEL_NO_DOCUMENTS_IN_CLOUD,Content Hub: Label indicating no documents in cloud,You have no documents in your Cloud,You have no documents in your Cloud,You have no documents in your Cloud,You have no documents in your Cloud,
ALBUM_ALERT_TITLE_CREATE_ALBUM,"Album: Alert title, Create Album",Album Name,Album Name,Album Name,Album Name,
ALBUM_LABEL_ADD_TO_NEW_ALBUM,"Album: Label, Add to new Album",New Album,New Album,New Album,New Album,
ALBUM_LABEL_ADD_TO_NEW_PLAYLIST,"Album: Label, Add to new Playlist",New Playlist,New Playlist,New Playlist,New Playlist,
SHARE_TITLE_SHARE,Share: ActionSheet title for sharing a link,Share,Share,Share,Share,
SHARE_BUTTON_PUBLIC,"Share: Action sheet button, Public share",Public,Public,Public,Public,
SHARE_BUTTON_EMAIL,"Share: Action sheet button, E-Mail",E-Mail,E-Mail,E-Mail,E-Mail,
SHARE_ALERT_MESSAGE_PUBLIC_SHARE_FAILED,"Share: Alert message, public share failed",Could not share the selected file,Could not share the selected file,Could not share the selected file,Could not share the selected file,
SETTINGS_LABEL_TITLE,"Settings: Title, settings",Settings,Settings,Settings,Settings,
PLAYLIST_LABEL_NEW_PLAYLIST,Music: 'New playlist' label,New Playlist,New Playlist,New Playlist,New Playlist,
MUSIC_GENERIC_ERROR_TITLE,Generic title of alert that displays an error,Error,Error,Error,Error,
GENERIC_BUTTON_SORT,Generic: Title of Sort button,Sort,Sort,Sort,Sort,
GENERIC_BUTTON_VERSION_CREATED_DESC,Generic: Title of Version Created (descending) button,Date Uploaded,Date Uploaded,Date Uploaded,Date Uploaded,
GENERIC_BUTTON_CAPTURE_DATE_DESC,Generic: Title of Capture Date (descending) button,Date Taken,Date Taken,Date Taken,Date Taken,
ALBUM_TITLE_VIDEO_TIMELINE,"Album: Title, Video Timeline",Timeline,Timeline,Timeline,Timeline,
SHARE_BUTTON_TWITTER,"Share: Button, Twitter",Twitter,Twitter,Twitter,Twitter,
SHARE_BUTTON_COPY_LINK,"Share: Button, Copy Link",Copy Link,Copy Link,Copy Link,Copy Link,
