Key,Comment,en,en-GB,de,es,
IAP_ALERT_MESSAGE_SUCCESSFUL_UPGRADE,Message of alert at the end of a successful upgrade,Your payment was successful. You will be upgraded shortly.,Your payment was successful. You will be upgraded shortly.,Your payment was successful. You will be upgraded shortly.,Your payment was successful. You will be upgraded shortly.,
IAP_TABLE_VIEW_SECTION_HEADER,This is the header title of the upgrade options table.,Available Upgrades,Available Upgrades,Available Upgrades,Available Upgrades,
SETTINGS_LABEL_AVAILABLE_STORAGE,Settings: Label 'Available Storage',Available Storage,Available Storage,Available Storage,Available Storage,
SETTINGS_TITLE_MANAGE_STORAGE,"Settings, Manage Storage title and label.",Manage Storage,Manage Storage,Manage Storage,Manage Storage,
IAP_MESSAGE_NO_UPGRADE_OPTIONS,"This text will be shown when the customer cannot upgrade e.g., because there are no upgrade options!",There are no upgrade options available.,There are no upgrade options available.,There are no upgrade options available.,There are no upgrade options available.,
SETTINGS_LABEL_VIEW_STORAGE_AND_UPGRADE,"Settings: Label, Single-line heading for service management. ",Cloud,Cloud,Cloud,Cloud,
AUTH_MESSAGE_WELCOME_TITLE,Dialog title displayed on authentication failure due to user attempting enriched authentication over an unauthorised network,Welcome,Welcome,Welcome,Welcome,
ALBUM_ALERT_MESSAGE_PROCESSING_FILE,"Album alert message, still processing file on server.",We're sorry.  We are in the middle of processing your file.,We're sorry.  We are in the middle of processing your file.,We're sorry.  We are in the middle of processing your file.,We're sorry.  We are in the middle of processing your file.,
ALBUM_ALERT_MESSAGE_ITEMS_ADDED_TO_ALBUM,"Album: Alert, Items added to album",%d of %d item(s) added to album '%@'.,%d of %d item(s) added to album '%@'.,%d of %d item(s) added to album '%@'.,%d of %d item(s) added to album '%@'.,
ALBUM_ALERT_MESSAGE_ITEMS_ALREADY_EXIST,"Album: Alert, Items already exist",%d item(s) already exists in '%@'.,%d item(s) already exists in '%@'.,%d item(s) already exists in '%@'.,%d item(s) already exists in '%@'.,
UPLOAD_ALERT_MESSAGE_FAILED_INSUFFICIENT_SPACE,"Upload: Alert message, failed due to insufficient available space in Cloud.","Sorry, you have insufficient space.","Sorry, you have insufficient space.","Sorry, you have insufficient space.","Sorry, you have insufficient space.",
UPLOAD_LABEL_PAUSED,Upload: label 'Upload paused',Upload paused,Upload paused,Upload paused,Upload paused,
UPLOAD_ALERT_MESSAGE_FAILED_NETWORK_AVAILABILITY,"Upload: Alert message, failed due to network being unavailable",Upload failed due to No Network.,Upload failed due to No Network.,Upload failed due to No Network.,Upload failed due to No Network.,
UPLOAD_COMPLETE_WITH_n_ERRORS,Upload: Completed with 'n' errors.,Upload completed with %d errors.,Upload completed with %d errors.,Upload completed with %d errors.,Upload completed with %d errors.,
UPLOAD_LABEL_UPLOAD_CANCELLING,"Upload: Label, 'Upload Cancelling'.",Upload cancelling,Upload cancelling,Upload cancelling,Upload cancelling,
MUSIC_MESSAGE_MUSIC_NOT_IMPORTED,Music: Message alert: 'There are no importer objects to be processed!' (probably not used),There are no importer objects to be processed!,There are no importer objects to be processed!,There are no importer objects to be processed!,There are no importer objects to be processed!,
REG_MESSAGE_INTERNAL_ERROR_MESSAGE,The In-App Registration is not active for this carrier.,The In-App Registration is not active for this carrier.,The In-App Registration is not active for this carrier.,The In-App Registration is not active for this carrier.,The In-App Registration is not active for this carrier.,
MUSIC_MESSAGE_SONGS_ADDED_TEXT,Message when songs added to playlist successfully,Songs added successfully!,Songs added successfully!,Songs added successfully!,Songs added successfully!,
MUSIC_LABEL_SONGS,Songs label,Songs,Songs,Songs,Songs,
MUSIC_LABEL_SONGS_COUNT,Songs count label,%d song(s),%d song(s),%d song(s),%d song(s),
FILEINFO_TITLE_SONG_DETAILS,"FileInfo: Title, Song Details.",Song Details,Song Details,Song Details,Song Details,
MUSIC_LABEL_SONG,Music: Label 'Song',Song,Song,Song,Song,
MUSIC_MESSAGE_SKIP_OTG_PLAYLIST,Music: Message 'Skipped pushing the OTG playlist!' for skippig on the go playlist (probably not used),Skipped pushing the OTG playlist!,Skipped pushing the OTG playlist!,Skipped pushing the OTG playlist!,Skipped pushing the OTG playlist!,
MUSIC_MESSAGE_DUPLICATE_PLAYLIST_SKIPPED_TEXT,Message when a dup playlist is skipped,Skipped duplicate playlist!,Skipped duplicate playlist!,Skipped duplicate playlist!,Skipped duplicate playlist!,
REG_DIALOG_TITLE,Screen title when signing up,Sign Up,Sign Up,Sign Up,Sign Up,
UPLOAD_LABEL_ACTIVITY_SEARCHING_FOR_NEW_MEDIA_n_FOUND,"Upload: Label, activity searching for new media - n found.",Searching for new media - %d found.,Searching for new media - %d found.,Searching for new media - %d found.,Searching for new media - %d found.,
UPLOAD_LABEL_SEARCHING_FOR_NEW_MEDIA,"Upload: Label, searching for new media.",Searching for new media,Searching for new media,Searching for new media,Searching for new media,
FILEINFO_LABEL_RESOLUTION,"FileInfo, 'Resolution' label",Resolution,Resolution,Resolution,Resolution,
